City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
234,Kununurra,AU,-15.7667,128.7333,87.8,74,40,5.75,scattered clouds,2021-02-01 03:41:11
235,Dingle,PH,10.9995,122.6711,82.87,73,42,14.41,scattered clouds,2021-02-01 03:41:11
236,Kalmanka,RU,52.8992,83.5433,3.2,72,0,8.95,clear sky,2021-02-01 03:41:11
237,Fort-Shevchenko,KZ,44.5086,50.263,38.01,92,39,5.41,scattered clouds,2021-02-01 03:41:11
238,Dire,ML,12.2833,-10.9667,67.75,21,91,1.88,overcast clouds,2021-02-01 03:41:11
239,Akkermanovka,RU,51.2467,58.2391,-0.4,92,90,1.81,fog,2021-02-01 03:41:12
240,Guider,CM,9.9342,13.9486,70.7,22,0,4.43,clear sky,2021-02-01 03:41:12
241,Lasa,IT,46.6166,10.7002,37.0,100,90,4.61,mist,2021-02-01 03:40:22
242,Kiruna,SE,67.8557,20.2251,17.6,93,90,10.36,light snow,2021-02-01 03:41:12
243,Cherskiy,RU,68.75,161.3,-10.12,83,98,7.67,overcast clouds,2021-02-01 03:40:28
244,Flinders,AU,-34.5833,150.8552,84.0,67,50,4.0,scattered clouds,2021-02-01 03:40:27
245,Bambanglipuro,ID,-7.95,110.2833,86.45,63,98,5.23,overcast clouds,2021-02-01 03:41:12
246,Jasper,US,37.2001,-94.3502,35.6,75,90,13.8,overcast clouds,2021-02-01 03:38:32
247,Padang,ID,-0.9492,100.3543,83.93,63,90,2.53,overcast clouds,2021-02-01 03:38:04
248,Joao Camara,BR,-5.5375,-35.8197,78.8,83,40,4.61,scattered clouds,2021-02-01 03:41:12
249,Noumea,NC,-22.2763,166.4572,84.2,58,0,23.02,clear sky,2021-02-01 03:41:13
250,Sitka,US,57.0531,-135.33,35.6,64,1,3.44,clear sky,2021-02-01 03:41:13
251,Liverpool,GB,53.4106,-2.9779,34.0,86,92,5.75,overcast clouds,2021-02-01 03:40:54
252,Fairbanks,US,64.8378,-147.7164,-5.8,84,90,2.21,overcast clouds,2021-02-01 03:39:41
253,Sinnamary,GF,5.3833,-52.95,77.45,82,96,13.82,overcast clouds,2021-02-01 03:39:42
254,Astara,AZ,38.5,48.6667,35.6,100,40,5.75,scattered clouds,2021-02-01 03:41:13
255,Bandarbeyla,SO,9.4942,50.8122,72.97,68,30,19.62,scattered clouds,2021-02-01 03:41:13
256,Jardim,BR,-21.4803,-56.1381,73.89,93,23,4.5,few clouds,2021-02-01 03:41:13
257,Lahad Datu,MY,5.0268,118.327,82.17,79,100,5.97,overcast clouds,2021-02-01 03:41:14
258,Ames,US,42.0347,-93.6199,27.0,80,90,16.11,overcast clouds,2021-02-01 03:38:36
